event_time,event_type
2018-04-20 11:15:34,0
2018-04-20 10:55:47,1
2018-04-20 10:53:23,0
2018-04-20 09:55:17,1
2018-04-20 09:52:44,0
2018-04-20 09:13:08,1
2018-04-23 18:42:55,0
2018-04-23 18:34:20,1
2018-04-23 18:28:34,0
2018-04-23 18:24:11,1
2018-04-23 18:19:07,0
2018-04-23 17:35:16,1
2018-04-23 17:33:11,0
2018-04-23 17:23:54,1
2018-04-23 17:21:05,0
2018-04-23 17:11:37,1
2018-04-23 17:06:38,0
2018-04-23 17:04:17,1
2018-04-23 17:01:30,0
2018-04-23 17:01:04,1
2018-04-23 16:52:46,0
2018-04-23 16:52:37,1
2018-04-23 16:00:15,0
2018-04-23 15:21:30,1
2018-04-23 15:18:06,0
2018-04-23 15:02:22,1
2018-04-23 13:58:35,0
2018-04-23 13:27:53,1
2018-04-23 13:21:32,0
2018-04-23 12:47:22,1
2018-04-23 12:45:13,0
2018-04-23 12:32:55,1
2018-04-24 19:06:10,0
2018-04-24 18:06:12,1
2018-04-24 18:03:17,0
2018-04-24 17:24:51,1
2018-04-24 17:21:36,0
2018-04-24 17:12:32,1
2018-04-24 17:09:51,0
2018-04-24 16:52:13,1
2018-04-24 16:48:52,0
2018-04-24 16:46:07,1
2018-04-24 16:39:33,0
2018-04-24 15:24:18,1
2018-04-24 15:22:14,0
2018-04-24 15:04:39,1
2018-04-24 13:53:49,0
2018-04-24 13:50:19,1
2018-04-24 13:44:05,0
2018-04-24 13:21:50,1
2018-04-24 13:15:55,0
2018-04-24 13:04:04,1
2018-04-24 13:00:13,0
2018-04-24 12:35:07,1
2018-04-24 12:31:38,0
2018-04-24 11:54:17,1
2018-04-24 11:51:40,0
2018-04-24 11:37:52,1
2018-04-24 11:34:55,0
2018-04-24 11:31:08,1
2018-04-24 11:28:12,0
2018-04-24 11:23:39,1
2018-04-24 11:20:19,0
2018-04-24 11:20:11,1
2018-04-24 11:18:00,0
2018-04-24 11:17:48,1
2018-04-24 11:05:06,0
2018-04-24 11:01:50,1
2018-04-24 10:56:50,0
2018-04-24 10:33:28,1
2018-04-24 10:30:45,0
2018-04-24 10:07:59,1
2018-04-24 10:02:49,0
2018-04-24 09:58:49,1
2018-04-24 09:55:03,0
2018-04-24 09:22:52,1
2018-04-24 09:19:52,0
2018-04-24 08:50:34,1
2018-04-24 08:47:32,0
2018-04-24 08:47:07,1
2018-04-24 08:44:40,0
2018-04-24 08:43:39,1
2018-04-24 08:41:22,0
2018-04-24 08:18:22,1
2018-04-25 10:02:43,0
2018-04-25 09:57:43,1
2018-04-25 09:53:52,0
2018-04-25 09:49:42,1
2018-04-25 09:45:47,0
2018-04-25 09:41:51,1
2018-04-25 09:36:26,0
2018-04-25 08:28:44,1
2018-04-25 08:26:37,0
2018-04-25 08:26:36,1
2018-04-26 16:25:54,0
2018-04-26 16:17:48,1
2018-04-26 16:10:30,0
2018-04-26 16:04:12,1
2018-04-26 16:02:03,0
2018-04-26 15:55:20,1
2018-04-26 15:53:13,0
2018-04-26 15:36:10,1
2018-04-26 15:33:52,0
2018-04-26 15:09:23,1
2018-04-26 15:04:47,0
2018-04-26 15:02:19,1
2018-04-26 13:58:37,0
2018-04-26 13:43:57,1
2018-04-26 13:38:51,0
2018-04-26 13:21:35,1
2018-04-26 13:18:34,0
2018-04-26 12:14:33,1
2018-04-26 12:12:09,0
2018-04-26 12:11:44,1
2018-04-26 12:02:52,0
2018-04-26 11:38:18,1
2018-04-26 11:35:21,0
2018-04-26 11:11:07,1
2018-04-26 11:08:20,0
2018-04-26 10:58:45,1
2018-04-26 10:53:07,0
2018-04-26 10:45:38,1
2018-04-26 10:40:43,0
2018-04-26 09:09:34,1
2018-04-26 09:06:28,0
2018-04-26 09:05:32,1
2018-04-26 09:02:13,0
2018-04-26 08:51:08,1
2018-04-27 18:09:45,0
2018-04-27 15:03:18,1
2018-04-27 13:57:05,0
2018-04-27 12:56:44,1
2018-04-27 12:19:17,0
2018-04-27 12:15:53,1
2018-04-27 12:11:48,0
2018-04-27 12:11:35,1
2018-04-27 12:05:25,0
2018-04-27 12:04:57,1
2018-04-27 12:01:51,0
2018-04-27 11:39:23,1
2018-04-27 10:11:16,1
2018-04-27 10:08:47,0
2018-04-27 09:44:58,1
2018-04-27 09:44:10,1
2018-04-27 08:30:14,1
2018-05-04 18:40:46,0
2018-05-04 18:36:02,1
2018-05-04 18:34:00,0
2018-05-04 18:23:55,1
2018-05-04 18:01:31,0
2018-05-04 17:19:59,1
2018-05-04 17:17:52,0
2018-05-04 16:26:54,1
2018-05-04 16:21:12,0
2018-05-04 15:34:50,1
2018-05-04 15:08:35,0
2018-05-04 15:02:39,1
2018-05-04 13:57:52,0
2018-05-04 13:15:53,1
2018-05-04 13:11:45,0
2018-05-04 12:11:24,1
2018-05-05 11:08:58,0
2018-05-05 11:08:36,1
2018-05-05 11:04:09,0
2018-05-05 10:33:38,1
2018-05-05 10:31:33,0
2018-05-05 10:20:41,1
2018-05-05 10:18:01,0
2018-05-05 10:11:11,1
2018-05-05 10:08:58,0
2018-05-05 10:05:01,1
2018-05-05 10:03:00,0
2018-05-05 09:18:12,1
2018-05-05 09:16:01,0
2018-05-05 09:00:36,1
2018-05-05 08:57:53,0
2018-05-05 08:32:48,1
2018-05-07 18:37:59,0
2018-05-07 17:44:43,1
2018-05-07 17:42:33,0
2018-05-07 17:00:03,1
2018-05-07 16:57:44,0
2018-05-07 16:46:36,1
2018-05-07 16:41:13,0
2018-05-07 16:40:19,1
2018-05-07 16:34:10,0
2018-05-07 15:28:08,1
2018-05-07 15:26:05,0
2018-05-07 15:01:55,1
2018-05-07 13:58:43,0
2018-05-07 13:45:51,1
2018-05-07 13:41:57,0
2018-05-07 13:40:04,1
2018-05-07 13:32:50,0
2018-05-07 12:15:59,1
2018-05-07 12:12:57,0
2018-05-07 12:04:18,1
2018-05-07 12:00:49,0
2018-05-07 11:59:58,1
2018-05-07 11:56:48,0
2018-05-07 09:50:06,1
2018-05-07 09:47:59,0
2018-05-07 09:44:50,1
2018-05-07 09:28:35,0
2018-05-07 09:17:47,1
2018-05-07 09:04:18,0
2018-05-07 09:03:16,1
2018-05-07 08:59:49,0
2018-05-07 08:58:16,1
2018-05-07 08:50:58,0
2018-05-07 08:48:38,1
2018-05-07 08:45:17,0
2018-05-07 08:44:11,1
2018-05-07 08:38:35,0
2018-05-07 08:37:57,1
2018-05-07 08:33:08,0
2018-05-07 08:32:04,1
2018-05-07 08:29:24,0
2018-05-07 08:29:16,1
2018-05-07 08:23:40,0
2018-05-07 08:23:07,1
2018-05-07 08:20:33,0
2018-05-07 08:20:08,1
2018-05-08 19:03:41,0
2018-05-08 19:03:38,1
2018-05-08 19:01:21,0
2018-05-08 18:53:46,1
2018-05-08 18:51:06,0
2018-05-08 15:28:24,1
2018-05-08 15:25:59,0
2018-05-08 15:13:27,1
2018-05-08 13:58:33,0
2018-05-08 13:41:03,1
2018-05-08 13:36:51,0
2018-05-08 13:36:05,1
2018-05-08 13:34:01,0
2018-05-08 12:08:33,1
2018-05-08 12:05:25,0
2018-05-08 11:59:39,1
2018-05-08 11:56:01,0
2018-05-08 11:11:28,1
2018-05-11 18:42:35,0
2018-05-11 18:35:08,1
2018-05-11 18:30:23,0
2018-05-11 18:29:57,1
2018-05-11 18:20:50,0
2018-05-11 18:19:50,1
2018-05-11 18:16:16,0
2018-05-11 18:11:56,1
2018-05-11 18:09:34,0
2018-05-11 17:57:31,1
2018-05-11 17:53:28,0
2018-05-11 17:46:09,1
2018-05-11 17:37:07,0
2018-05-11 17:24:20,1
2018-05-11 17:22:08,0
2018-05-11 17:07:10,1
2018-05-11 17:04:40,0
2018-05-11 17:02:27,1
2018-05-11 16:54:21,0
2018-05-11 16:47:01,1
2018-05-11 16:44:23,0
2018-05-11 16:12:30,1
2018-05-11 16:10:30,0
2018-05-11 16:03:53,1
2018-05-11 16:00:16,0
2018-05-11 15:47:32,1
2018-05-11 15:33:40,0
2018-05-11 15:09:08,1
2018-05-11 13:57:59,0
2018-05-11 13:56:59,1
2018-05-11 13:54:34,0
2018-05-11 13:42:29,1
2018-05-11 13:31:42,0
2018-05-11 13:25:08,1
2018-05-11 13:23:04,0
2018-05-11 13:17:29,1
2018-05-11 13:15:03,0
2018-05-11 12:13:23,1
2018-05-11 12:08:52,0
2018-05-11 12:05:47,1
2018-05-11 12:03:38,0
2018-05-11 12:01:16,1
2018-05-11 11:51:58,0
2018-05-11 11:24:45,1
2018-05-11 11:22:26,0
2018-05-11 11:19:13,1
2018-05-11 11:14:55,0
2018-05-11 10:49:45,1
2018-05-11 10:38:15,0
2018-05-11 10:13:34,1
2018-05-11 09:38:32,1
2018-05-11 09:38:31,1
2018-05-11 09:29:49,0
2018-05-11 09:29:24,1
2018-05-11 09:02:05,0
2018-05-11 08:43:02,1
2018-05-11 08:41:47,1
2018-05-14 13:58:31,0
2018-05-14 12:48:27,1
2018-05-14 12:44:55,0
2018-05-14 12:37:36,1
2018-05-14 12:33:04,0
2018-05-14 12:31:31,1
2018-05-14 12:26:06,0
2018-05-14 12:23:06,1
2018-05-14 12:20:56,0
2018-05-14 12:04:06,1
2018-05-14 12:01:32,0
2018-05-14 11:39:00,1
2018-05-14 11:36:57,0
2018-05-14 11:36:55,1
2018-05-14 11:34:54,0
2018-05-14 09:57:13,1
2018-05-14 09:54:39,0
2018-05-14 09:38:06,1
2018-05-14 09:33:16,0
2018-05-14 09:30:12,1
2018-05-14 09:24:33,0
2018-05-14 08:22:36,1
